,retrain_KSWIN,retrain_KSWIN_shap
0_sine2_short,[1015],[1087]
1_sine2_short,[1016],[1088]
2_sine2_short,[1012],[1088]
3_sine2_short,[1014],[1085]
4_sine2_short,[1016],[1073]
5_sine2_short,[1016],[1087]
6_sine2_short,[1016],[1094]
7_sine2_short,[1014],[1086]
8_sine2_short,[1014],[1087]
9_sine2_short,[1016],[1074]
10_sine2_short,[1014],[1100]
11_sine2_short,[1016],[1073]
12_sine2_short,[1018],[1070]
13_sine2_short,[1016],[1073]
14_sine2_short,[1014],[1093]
15_sine2_short,[1015],[1093]
16_sine2_short,[1015],[1093]
17_sine2_short,[1014],[1091]
18_sine2_short,[1015],[1073]
19_sine2_short,[1015],[1086]
20_sine2_short,[1016],[1090]
21_sine2_short,[1015],[1065]
22_sine2_short,[1016],[1086]
23_sine2_short,[1014],[1088]
24_sine2_short,[1015],[1085]
25_sine2_short,[1014],[1088]
26_sine2_short,[1016],[1088]
27_sine2_short,[1015],[1086]
28_sine2_short,[1016],[1073]
29_sine2_short,[1013],[1085]
30_sine2_short,[1016],[1091]
31_sine2_short,[1016],[1093]
32_sine2_short,[1013],[1086]
33_sine2_short,[1015],[1064]
34_sine2_short,[1016],[1074]
35_sine2_short,[1014],[1086]
36_sine2_short,[1016],[1087]
37_sine2_short,[1015],[1074]
38_sine2_short,[1017],[1086]
39_sine2_short,[1015],[1094]
40_sine2_short,[1015],[1086]
41_sine2_short,[1016],[1088]
42_sine2_short,[1015],[1087]
43_sine2_short,[1015],[1086]
44_sine2_short,[1016],[1088]
45_sine2_short,[1015],[1086]
46_sine2_short,[1015],[1059]
47_sine2_short,[1014],[1064]
48_sine2_short,[1014],[1095]
49_sine2_short,[1017],[1070]
