,retrain_adwin,retrain_adwin_shap
0_abrupt concept drift noisy001,[1523],[1581]
1_abrupt concept drift noisy001,[1553],[1583]
2_abrupt concept drift noisy001,[1546],[1561]
3_abrupt concept drift noisy001,[1564],[1595]
4_abrupt concept drift noisy001,[1560],[1582]
5_abrupt concept drift noisy001,[1571],[1597]
6_abrupt concept drift noisy001,[1571],[1543]
7_abrupt concept drift noisy001,[1558],[1341]
8_abrupt concept drift noisy001,[1556],[803]
9_abrupt concept drift noisy001,[1576],[1599]
10_abrupt concept drift noisy001,[1533],[1571]
11_abrupt concept drift noisy001,[1571],[1599]
12_abrupt concept drift noisy001,[1546],[1603]
13_abrupt concept drift noisy001,[1543],[1603]
14_abrupt concept drift noisy001,[1544],[1568]
15_abrupt concept drift noisy001,[1565],[1601]
16_abrupt concept drift noisy001,[1571],[1611]
17_abrupt concept drift noisy001,[1553],[1610]
18_abrupt concept drift noisy001,[1567],[1650]
19_abrupt concept drift noisy001,[1557],[1583]
20_abrupt concept drift noisy001,[1571],[1656]
21_abrupt concept drift noisy001,[1571],[1687]
22_abrupt concept drift noisy001,[1532],[1589]
23_abrupt concept drift noisy001,[1553],[1558]
24_abrupt concept drift noisy001,[1570],[1584]
25_abrupt concept drift noisy001,[1571],[1763]
26_abrupt concept drift noisy001,[1550],[1568]
27_abrupt concept drift noisy001,[1569],[1634]
28_abrupt concept drift noisy001,[1571],[1579]
29_abrupt concept drift noisy001,[1586],[1630]
30_abrupt concept drift noisy001,[1535],[1635]
31_abrupt concept drift noisy001,[1535],[1568]
32_abrupt concept drift noisy001,[1571],[1576]
33_abrupt concept drift noisy001,[1556],[1621]
34_abrupt concept drift noisy001,[1570],[1593]
35_abrupt concept drift noisy001,[1538],[1571]
36_abrupt concept drift noisy001,[1571],[1574]
37_abrupt concept drift noisy001,[1585],[1607]
38_abrupt concept drift noisy001,[1574],[1598]
39_abrupt concept drift noisy001,[1553],[1309]
40_abrupt concept drift noisy001,[1527],[1576]
41_abrupt concept drift noisy001,[1561],[1559]
42_abrupt concept drift noisy001,[1571],[1575]
43_abrupt concept drift noisy001,[1547],[1571]
44_abrupt concept drift noisy001,[1557],[1551]
45_abrupt concept drift noisy001,[1568],[1616]
46_abrupt concept drift noisy001,[1532],[1609]
47_abrupt concept drift noisy001,[1570],[1603]
48_abrupt concept drift noisy001,[1581],[1587]
49_abrupt concept drift noisy001,[1563],[1571]
