,retrain_adwin,retrain_adwin_shap
0_abrupt concept drift noisy05,[1534],[1558]
1_abrupt concept drift noisy05,[1557],[1589]
2_abrupt concept drift noisy05,[1687],[1811]
3_abrupt concept drift noisy05,[1601],[1699]
4_abrupt concept drift noisy05,[1581],[1818]
5_abrupt concept drift noisy05,[1603],[1677]
6_abrupt concept drift noisy05,[1590],[1727]
7_abrupt concept drift noisy05,[1576],[1584]
8_abrupt concept drift noisy05,[1539],[1601]
9_abrupt concept drift noisy05,[1598],[1607]
10_abrupt concept drift noisy05,[1516],[1782]
11_abrupt concept drift noisy05,[1604],[1597]
12_abrupt concept drift noisy05,[1558],[1603]
13_abrupt concept drift noisy05,[1571],[1725]
14_abrupt concept drift noisy05,[1571],[1585]
15_abrupt concept drift noisy05,[1539],[1571]
16_abrupt concept drift noisy05,[1550],[1699]
17_abrupt concept drift noisy05,[1131],[1599]
18_abrupt concept drift noisy05,[1551],[1588]
19_abrupt concept drift noisy05,[1594],[1776]
20_abrupt concept drift noisy05,[1763],[1763]
21_abrupt concept drift noisy05,[1561],[1572]
22_abrupt concept drift noisy05,[1704],[1827]
23_abrupt concept drift noisy05,[1613],[1759]
24_abrupt concept drift noisy05,[1575],[1694]
25_abrupt concept drift noisy05,[1593],[1637]
26_abrupt concept drift noisy05,[1571],[1674]
27_abrupt concept drift noisy05,[1635],[1728]
28_abrupt concept drift noisy05,[1603],[1763]
29_abrupt concept drift noisy05,[964],[1625]
30_abrupt concept drift noisy05,[1560],[1571]
31_abrupt concept drift noisy05,[1583],[1763]
32_abrupt concept drift noisy05,[1601],[1748]
33_abrupt concept drift noisy05,[1617],[1731]
34_abrupt concept drift noisy05,[1621],[1821]
35_abrupt concept drift noisy05,[1623],[1635]
36_abrupt concept drift noisy05,[1589],[1589]
37_abrupt concept drift noisy05,[1587],[1601]
38_abrupt concept drift noisy05,[1536],[1588]
39_abrupt concept drift noisy05,[1573],[1750]
40_abrupt concept drift noisy05,[1602],[1603]
41_abrupt concept drift noisy05,[1571],[1571]
42_abrupt concept drift noisy05,[1602],[1806]
43_abrupt concept drift noisy05,[1568],[1597]
44_abrupt concept drift noisy05,[1539],[1606]
45_abrupt concept drift noisy05,[1581],[1628]
46_abrupt concept drift noisy05,[1585],[1612]
47_abrupt concept drift noisy05,[1627],[1699]
48_abrupt concept drift noisy05,[1567],[1578]
49_abrupt concept drift noisy05,[1582],[1667]
