,retrain_KSWIN,retrain_KSWIN_shap
0_abrupt concept drift noisy1,[1534],[1640]
1_abrupt concept drift noisy1,[],[1738]
2_abrupt concept drift noisy1,[],[1739]
3_abrupt concept drift noisy1,[1523],[1714]
4_abrupt concept drift noisy1,[1300],[1694]
5_abrupt concept drift noisy1,[1049],[1690]
6_abrupt concept drift noisy1,[1615],[]
7_abrupt concept drift noisy1,[1528],[1698]
8_abrupt concept drift noisy1,[1566],[1724]
9_abrupt concept drift noisy1,[1551],[1698]
10_abrupt concept drift noisy1,[1528],[1608]
11_abrupt concept drift noisy1,[2439],[1711]
12_abrupt concept drift noisy1,[2797],[1651]
13_abrupt concept drift noisy1,[1665],[1678]
14_abrupt concept drift noisy1,[2521],[1664]
15_abrupt concept drift noisy1,[1578],[1738]
16_abrupt concept drift noisy1,[2443],[1739]
17_abrupt concept drift noisy1,[2355],[1756]
18_abrupt concept drift noisy1,[2931],[1721]
19_abrupt concept drift noisy1,[1558],[1650]
20_abrupt concept drift noisy1,[1524],[1718]
21_abrupt concept drift noisy1,[],[1707]
22_abrupt concept drift noisy1,[1526],[1680]
23_abrupt concept drift noisy1,[1533],[1697]
24_abrupt concept drift noisy1,[2083],[1728]
25_abrupt concept drift noisy1,[],[1732]
26_abrupt concept drift noisy1,[],[1696]
27_abrupt concept drift noisy1,[1518],[1708]
28_abrupt concept drift noisy1,[1908],[1646]
29_abrupt concept drift noisy1,[1543],[1692]
30_abrupt concept drift noisy1,[472],[1680]
31_abrupt concept drift noisy1,[],[1798]
32_abrupt concept drift noisy1,[1529],[1625]
33_abrupt concept drift noisy1,[1528],[1746]
34_abrupt concept drift noisy1,[1551],[1711]
35_abrupt concept drift noisy1,[1526],[1657]
36_abrupt concept drift noisy1,[1529],[]
37_abrupt concept drift noisy1,[],[]
38_abrupt concept drift noisy1,[1546],[1679]
39_abrupt concept drift noisy1,[1154],[1698]
40_abrupt concept drift noisy1,[1869],[]
41_abrupt concept drift noisy1,[1525],[1665]
42_abrupt concept drift noisy1,[],[1748]
43_abrupt concept drift noisy1,[2395],[1689]
44_abrupt concept drift noisy1,[1971],[1699]
45_abrupt concept drift noisy1,[1539],[1743]
46_abrupt concept drift noisy1,[1526],[1738]
47_abrupt concept drift noisy1,[],[1609]
48_abrupt concept drift noisy1,[1489],[1624]
49_abrupt concept drift noisy1,[1550],[1676]
