,retrain_PH,retrain_PH_shap
0_abrupt concept drift noisy1,[1660],[1713]
1_abrupt concept drift noisy1,[1697],[1689]
2_abrupt concept drift noisy1,[1763],[1679]
3_abrupt concept drift noisy1,[1699],[1754]
4_abrupt concept drift noisy1,[1662],[1773]
5_abrupt concept drift noisy1,[1637],[1788]
6_abrupt concept drift noisy1,[1644],[1755]
7_abrupt concept drift noisy1,[1629],[1573]
8_abrupt concept drift noisy1,[1642],[1717]
9_abrupt concept drift noisy1,[1625],[1702]
10_abrupt concept drift noisy1,[1624],[1642]
11_abrupt concept drift noisy1,[1679],[1812]
12_abrupt concept drift noisy1,[1649],[1740]
13_abrupt concept drift noisy1,[1637],[1652]
14_abrupt concept drift noisy1,[1589],[1623]
15_abrupt concept drift noisy1,[1629],[1741]
16_abrupt concept drift noisy1,[1643],[1674]
17_abrupt concept drift noisy1,[1664],[1798]
18_abrupt concept drift noisy1,[1592],[1659]
19_abrupt concept drift noisy1,[1606],[1670]
20_abrupt concept drift noisy1,[1659],[1703]
21_abrupt concept drift noisy1,[1667],[1759]
22_abrupt concept drift noisy1,[1684],[1746]
23_abrupt concept drift noisy1,[1591],[1707]
24_abrupt concept drift noisy1,[1615],[1827]
25_abrupt concept drift noisy1,[1650],[1754]
26_abrupt concept drift noisy1,[1727],[1634]
27_abrupt concept drift noisy1,[1682],[1789]
28_abrupt concept drift noisy1,[1635],[1920]
29_abrupt concept drift noisy1,[1545],[1693]
30_abrupt concept drift noisy1,[1706],[1904]
31_abrupt concept drift noisy1,[1736],[1646]
32_abrupt concept drift noisy1,[1694],[1768]
33_abrupt concept drift noisy1,[1669],[1727]
34_abrupt concept drift noisy1,[1610],[1881]
35_abrupt concept drift noisy1,[1658],[1734]
36_abrupt concept drift noisy1,[1663],[1747]
37_abrupt concept drift noisy1,[1708],[1756]
38_abrupt concept drift noisy1,[1657],[1811]
39_abrupt concept drift noisy1,[1604],[1737]
40_abrupt concept drift noisy1,[1586],[1671]
41_abrupt concept drift noisy1,[1620],[1858]
42_abrupt concept drift noisy1,[1656],[1745]
43_abrupt concept drift noisy1,[1787],[1818]
44_abrupt concept drift noisy1,[1623],[1749]
45_abrupt concept drift noisy1,[1691],[1725]
46_abrupt concept drift noisy1,[1700],[2153]
47_abrupt concept drift noisy1,[1695],[1799]
48_abrupt concept drift noisy1,[1600],[1663]
49_abrupt concept drift noisy1,[1675],[1827]
