,retrain_adwin,retrain_adwin_shap
0_abrupt concept drift noisy1,[1632],[1737]
1_abrupt concept drift noisy1,[1567],[1603]
2_abrupt concept drift noisy1,[1699],[1902]
3_abrupt concept drift noisy1,[1836],[1891]
4_abrupt concept drift noisy1,[1571],[1827]
5_abrupt concept drift noisy1,[1603],[1613]
6_abrupt concept drift noisy1,[1585],[1593]
7_abrupt concept drift noisy1,[1614],[1763]
8_abrupt concept drift noisy1,[1757],[1747]
9_abrupt concept drift noisy1,[1651],[1763]
10_abrupt concept drift noisy1,[1601],[1842]
11_abrupt concept drift noisy1,[1644],[1674]
12_abrupt concept drift noisy1,[1633],[1715]
13_abrupt concept drift noisy1,[1610],[1604]
14_abrupt concept drift noisy1,[1670],[1571]
15_abrupt concept drift noisy1,[1598],[1623]
16_abrupt concept drift noisy1,[1603],[1891]
17_abrupt concept drift noisy1,[1806],[1632]
18_abrupt concept drift noisy1,[1635],[1699]
19_abrupt concept drift noisy1,[1613],[1891]
20_abrupt concept drift noisy1,[1613],[1741]
21_abrupt concept drift noisy1,[1570],[1812]
22_abrupt concept drift noisy1,[1743],[1830]
23_abrupt concept drift noisy1,[1603],[1827]
24_abrupt concept drift noisy1,[931],[1599]
25_abrupt concept drift noisy1,[1603],[1597]
26_abrupt concept drift noisy1,[1591],[1754]
27_abrupt concept drift noisy1,[1876],[1891]
28_abrupt concept drift noisy1,[1595],[1763]
29_abrupt concept drift noisy1,[1706],[1571]
30_abrupt concept drift noisy1,[1594],[1599]
31_abrupt concept drift noisy1,[1763],[1823]
32_abrupt concept drift noisy1,[1561],[1876]
33_abrupt concept drift noisy1,[1652],[1780]
34_abrupt concept drift noisy1,[1596],[1834]
35_abrupt concept drift noisy1,[1635],[1699]
36_abrupt concept drift noisy1,[1571],[1632]
37_abrupt concept drift noisy1,[1634],[1763]
38_abrupt concept drift noisy1,[1571],[1891]
39_abrupt concept drift noisy1,[1623],[1873]
40_abrupt concept drift noisy1,[1582],[1765]
41_abrupt concept drift noisy1,[1825],[1891]
42_abrupt concept drift noisy1,[1635],[1743]
43_abrupt concept drift noisy1,[1890],[2147]
44_abrupt concept drift noisy1,[1571],[1623]
45_abrupt concept drift noisy1,[1633],[1763]
46_abrupt concept drift noisy1,[1643],[1763]
47_abrupt concept drift noisy1,[1622],[1829]
48_abrupt concept drift noisy1,[1589],[1763]
49_abrupt concept drift noisy1,[1629],[1763]
