,retrain_KSWIN,retrain_KSWIN_shap
0_abrupt concept drift noisy001,[1534],[1699]
1_abrupt concept drift noisy001,[1522],[1644]
2_abrupt concept drift noisy001,[1562],[1663]
3_abrupt concept drift noisy001,[1527],[1631]
4_abrupt concept drift noisy001,[1531],[1643]
5_abrupt concept drift noisy001,[1525],[1639]
6_abrupt concept drift noisy001,[1529],[1689]
7_abrupt concept drift noisy001,[1532],[1671]
8_abrupt concept drift noisy001,[1537],[1601]
9_abrupt concept drift noisy001,[1539],[1641]
10_abrupt concept drift noisy001,[],[1690]
11_abrupt concept drift noisy001,[1515],[1658]
12_abrupt concept drift noisy001,[1577],[1637]
13_abrupt concept drift noisy001,[1525],[1666]
14_abrupt concept drift noisy001,[],[1671]
15_abrupt concept drift noisy001,[1554],[1720]
16_abrupt concept drift noisy001,[1527],[1620]
17_abrupt concept drift noisy001,[1523],[1665]
18_abrupt concept drift noisy001,[1529],[1633]
19_abrupt concept drift noisy001,[1558],[1676]
20_abrupt concept drift noisy001,[1522],[1652]
21_abrupt concept drift noisy001,[2662],[1612]
22_abrupt concept drift noisy001,[1521],[1657]
23_abrupt concept drift noisy001,[1522],[1629]
24_abrupt concept drift noisy001,[],[1638]
25_abrupt concept drift noisy001,[1949],[1644]
26_abrupt concept drift noisy001,[2848],[1661]
27_abrupt concept drift noisy001,[1527],[1637]
28_abrupt concept drift noisy001,[1529],[1611]
29_abrupt concept drift noisy001,[1750],[1680]
30_abrupt concept drift noisy001,[1519],[1596]
31_abrupt concept drift noisy001,[2486],[1632]
32_abrupt concept drift noisy001,[1529],[1633]
33_abrupt concept drift noisy001,[1562],[1672]
34_abrupt concept drift noisy001,[1539],[1674]
35_abrupt concept drift noisy001,[1527],[1678]
36_abrupt concept drift noisy001,[],[1669]
37_abrupt concept drift noisy001,[1543],[1592]
38_abrupt concept drift noisy001,[1541],[1643]
39_abrupt concept drift noisy001,[1518],[1652]
40_abrupt concept drift noisy001,[1526],[1682]
41_abrupt concept drift noisy001,[1523],[1666]
42_abrupt concept drift noisy001,[1528],[1648]
43_abrupt concept drift noisy001,[1524],[1656]
44_abrupt concept drift noisy001,[1525],[1655]
45_abrupt concept drift noisy001,[1529],[1652]
46_abrupt concept drift noisy001,[1524],[1652]
47_abrupt concept drift noisy001,[1546],[1665]
48_abrupt concept drift noisy001,[2064],[1618]
49_abrupt concept drift noisy001,[],[1682]
