,retrain_adwin,retrain_adwin_shap
0_abrupt concept drift noisy01,[1570],[1782]
1_abrupt concept drift noisy01,[1548],[1558]
2_abrupt concept drift noisy01,[1544],[1587]
3_abrupt concept drift noisy01,[1579],[1571]
4_abrupt concept drift noisy01,[1558],[1524]
5_abrupt concept drift noisy01,[1534],[1589]
6_abrupt concept drift noisy01,[1570],[1603]
7_abrupt concept drift noisy01,[1539],[1598]
8_abrupt concept drift noisy01,[1599],[1559]
9_abrupt concept drift noisy01,[1571],[1626]
10_abrupt concept drift noisy01,[1539],[1603]
11_abrupt concept drift noisy01,[1560],[1602]
12_abrupt concept drift noisy01,[1570],[1571]
13_abrupt concept drift noisy01,[1559],[1565]
14_abrupt concept drift noisy01,[1507],[1576]
15_abrupt concept drift noisy01,[1537],[1656]
16_abrupt concept drift noisy01,[1566],[1571]
17_abrupt concept drift noisy01,[1590],[1571]
18_abrupt concept drift noisy01,[1569],[1627]
19_abrupt concept drift noisy01,[1539],[1621]
20_abrupt concept drift noisy01,[1597],[1612]
21_abrupt concept drift noisy01,[1554],[1549]
22_abrupt concept drift noisy01,[1536],[1615]
23_abrupt concept drift noisy01,[1537],[1613]
24_abrupt concept drift noisy01,[1507],[1523]
25_abrupt concept drift noisy01,[1576],[1587]
26_abrupt concept drift noisy01,[1555],[1539]
27_abrupt concept drift noisy01,[1561],[1623]
28_abrupt concept drift noisy01,[1539],[1571]
29_abrupt concept drift noisy01,[1531],[1600]
30_abrupt concept drift noisy01,[1571],[1590]
31_abrupt concept drift noisy01,[1555],[1612]
32_abrupt concept drift noisy01,[1601],[1583]
33_abrupt concept drift noisy01,[1531],[1555]
34_abrupt concept drift noisy01,[970],[1554]
35_abrupt concept drift noisy01,[1571],[1573]
36_abrupt concept drift noisy01,[1548],[1628]
37_abrupt concept drift noisy01,[1585],[1587]
38_abrupt concept drift noisy01,[1555],[1539]
39_abrupt concept drift noisy01,[1557],[1597]
40_abrupt concept drift noisy01,[1530],[1574]
41_abrupt concept drift noisy01,[1571],[1687]
42_abrupt concept drift noisy01,[1588],[1546]
43_abrupt concept drift noisy01,[1568],[1751]
44_abrupt concept drift noisy01,[1575],[1672]
45_abrupt concept drift noisy01,[1572],[1603]
46_abrupt concept drift noisy01,[1571],[1754]
47_abrupt concept drift noisy01,[1547],[1624]
48_abrupt concept drift noisy01,[1539],[1566]
49_abrupt concept drift noisy01,[1539],[1624]
