,retrain_KSWIN,retrain_KSWIN_shap
0_abrupt concept drift noisy01,[1533],[1606]
1_abrupt concept drift noisy01,[1529],[1655]
2_abrupt concept drift noisy01,[2453],[1683]
3_abrupt concept drift noisy01,[1523],[1643]
4_abrupt concept drift noisy01,[2673],[1650]
5_abrupt concept drift noisy01,[1528],[1602]
6_abrupt concept drift noisy01,[],[1681]
7_abrupt concept drift noisy01,[1845],[1624]
8_abrupt concept drift noisy01,[1562],[1643]
9_abrupt concept drift noisy01,[1530],[1651]
10_abrupt concept drift noisy01,[2332],[1699]
11_abrupt concept drift noisy01,[1529],[1655]
12_abrupt concept drift noisy01,[1527],[1596]
13_abrupt concept drift noisy01,[2493],[1656]
14_abrupt concept drift noisy01,[1572],[1670]
15_abrupt concept drift noisy01,[1522],[1641]
16_abrupt concept drift noisy01,[],[1632]
17_abrupt concept drift noisy01,[1522],[1671]
18_abrupt concept drift noisy01,[1519],[1672]
19_abrupt concept drift noisy01,[2980],[1672]
20_abrupt concept drift noisy01,[1524],[1631]
21_abrupt concept drift noisy01,[1518],[1675]
22_abrupt concept drift noisy01,[1878],[1720]
23_abrupt concept drift noisy01,[1521],[1644]
24_abrupt concept drift noisy01,[2915],[1733]
25_abrupt concept drift noisy01,[2553],[1651]
26_abrupt concept drift noisy01,[1518],[1652]
27_abrupt concept drift noisy01,[1530],[1692]
28_abrupt concept drift noisy01,[1527],[1673]
29_abrupt concept drift noisy01,[1532],[1701]
30_abrupt concept drift noisy01,[],[1641]
31_abrupt concept drift noisy01,[1530],[1711]
32_abrupt concept drift noisy01,[1520],[1606]
33_abrupt concept drift noisy01,[1516],[1610]
34_abrupt concept drift noisy01,[2637],[1693]
35_abrupt concept drift noisy01,[1524],[1654]
36_abrupt concept drift noisy01,[1526],[1665]
37_abrupt concept drift noisy01,[1529],[1685]
38_abrupt concept drift noisy01,[1525],[1696]
39_abrupt concept drift noisy01,[1537],[1679]
40_abrupt concept drift noisy01,[1521],[1631]
41_abrupt concept drift noisy01,[1544],[1663]
42_abrupt concept drift noisy01,[1530],[1616]
43_abrupt concept drift noisy01,[2304],[1657]
44_abrupt concept drift noisy01,[1536],[1705]
45_abrupt concept drift noisy01,[1536],[1664]
46_abrupt concept drift noisy01,[1524],[1663]
47_abrupt concept drift noisy01,[1520],[1660]
48_abrupt concept drift noisy01,[2475],[1720]
49_abrupt concept drift noisy01,[1520],[1659]
