,noise_rate,alpha,success,performance,drift_name
102,0.05,0.0005,True,25,gradual_concept_drift_noisy05
103,0.05,0.0005,False,-1,nodrift_noisy05
104,0.05,0.0001,True,23,stagger_short_noisy05
105,0.05,0.0001,True,19,sine1_short_noisy05
106,0.05,0.0001,True,1036,sine2_short_noisy05
107,0.05,0.0001,True,3986,smooth_concept_drift_noisy05
108,0.05,0.0001,False,4500,abrupt_concept_drift_noisy05
109,0.05,0.0001,True,28,abrupt_covariate_noisy05
110,0.05,0.0001,False,6000,gradual_concept_drift_noisy05
111,0.05,0.0001,False,-1,nodrift_noisy05
112,0.05,5e-05,True,23,stagger_short_noisy05
113,0.05,5e-05,True,2,sine1_short_noisy05
114,0.05,5e-05,False,2000,sine2_short_noisy05
115,0.05,5e-05,False,6000,smooth_concept_drift_noisy05
116,0.05,5e-05,False,4500,abrupt_concept_drift_noisy05
117,0.05,5e-05,True,27,abrupt_covariate_noisy05
118,0.05,5e-05,True,4746,gradual_concept_drift_noisy05
119,0.05,5e-05,True,-1,nodrift_noisy05
120,0.05,1e-05,True,21,stagger_short_noisy05
121,0.05,1e-05,True,1028,sine1_short_noisy05
122,0.05,1e-05,True,27,sine2_short_noisy05
123,0.05,1e-05,False,6000,smooth_concept_drift_noisy05
124,0.05,1e-05,False,4500,abrupt_concept_drift_noisy05
125,0.05,1e-05,True,1855,abrupt_covariate_noisy05
126,0.05,1e-05,True,827,gradual_concept_drift_noisy05
127,0.05,1e-05,True,-1,nodrift_noisy05
128,0.1,0.0005,True,21,stagger_short_noisy1
129,0.1,0.0005,True,23,sine1_short_noisy1
130,0.1,0.0005,True,1028,sine2_short_noisy1
131,0.1,0.0005,True,707,smooth_concept_drift_noisy1
132,0.1,0.0005,False,4500,abrupt_concept_drift_noisy1
133,0.1,0.0005,False,6300,abrupt_covariate_noisy1
134,0.1,0.0005,True,97,gradual_concept_drift_noisy1
135,0.1,0.0005,False,-1,nodrift_noisy1
136,0.1,0.0001,True,18,stagger_short_noisy1
137,0.1,0.0001,False,2000,sine1_short_noisy1
138,0.1,0.0001,True,21,sine2_short_noisy1
139,0.1,0.0001,False,6000,smooth_concept_drift_noisy1
140,0.1,0.0001,False,4500,abrupt_concept_drift_noisy1
141,0.1,0.0001,True,2270,abrupt_covariate_noisy1
142,0.1,0.0001,True,827,gradual_concept_drift_noisy1
143,0.1,0.0001,True,-1,nodrift_noisy1
144,0.1,5e-05,True,23,stagger_short_noisy1
145,0.1,5e-05,True,36,sine1_short_noisy1
146,0.1,5e-05,True,28,sine2_short_noisy1
147,0.1,5e-05,False,6000,smooth_concept_drift_noisy1
148,0.1,5e-05,False,4500,abrupt_concept_drift_noisy1
149,0.1,5e-05,True,2097,abrupt_covariate_noisy1
150,0.1,5e-05,True,2238,gradual_concept_drift_noisy1
151,0.1,5e-05,True,-1,nodrift_noisy1
152,0.1,1e-05,True,23,stagger_short_noisy1
153,0.1,1e-05,True,1028,sine1_short_noisy1
154,0.1,1e-05,False,2000,sine2_short_noisy1
155,0.1,1e-05,False,6000,smooth_concept_drift_noisy1
156,0.1,1e-05,False,4500,abrupt_concept_drift_noisy1
157,0.1,1e-05,False,6300,abrupt_covariate_noisy1
158,0.1,1e-05,True,1038,gradual_concept_drift_noisy1
159,0.1,1e-05,True,-1,nodrift_noisy1
160,0.5,0.0005,False,4000,stagger_short_noisy5
161,0.5,0.0005,False,2000,sine1_short_noisy5
162,0.5,0.0005,False,2000,sine2_short_noisy5
163,0.5,0.0005,True,278,smooth_concept_drift_noisy5
164,0.5,0.0005,False,4500,abrupt_concept_drift_noisy5
165,0.5,0.0005,False,6300,abrupt_covariate_noisy5
166,0.5,0.0005,False,6000,gradual_concept_drift_noisy5
167,0.5,0.0005,False,-1,nodrift_noisy5
168,0.5,0.0001,False,4000,stagger_short_noisy5
169,0.5,0.0001,True,695,sine1_short_noisy5
170,0.5,0.0001,False,2000,sine2_short_noisy5
171,0.5,0.0001,False,6000,smooth_concept_drift_noisy5
172,0.5,0.0001,False,4500,abrupt_concept_drift_noisy5
173,0.5,0.0001,True,4822,abrupt_covariate_noisy5
174,0.5,0.0001,False,6000,gradual_concept_drift_noisy5
175,0.5,0.0001,False,-1,nodrift_noisy5
176,0.5,5e-05,True,3552,stagger_short_noisy5
177,0.5,5e-05,False,2000,sine1_short_noisy5
178,0.5,5e-05,False,2000,sine2_short_noisy5
179,0.5,5e-05,False,6000,smooth_concept_drift_noisy5
180,0.5,5e-05,False,4500,abrupt_concept_drift_noisy5
181,0.5,5e-05,False,6300,abrupt_covariate_noisy5
182,0.5,5e-05,True,5040,gradual_concept_drift_noisy5
183,0.5,5e-05,True,-1,nodrift_noisy5
184,0.5,1e-05,False,4000,stagger_short_noisy5
185,0.5,1e-05,False,2000,sine1_short_noisy5
186,0.5,1e-05,False,2000,sine2_short_noisy5
187,0.5,1e-05,False,6000,smooth_concept_drift_noisy5
188,0.5,1e-05,False,4500,abrupt_concept_drift_noisy5
189,0.5,1e-05,True,4967,abrupt_covariate_noisy5
190,0.5,1e-05,False,6000,gradual_concept_drift_noisy5
191,0.5,1e-05,True,-1,nodrift_noisy5
