,noise_rate,alpha,success,performance,drift_name
0,0.0,0.001,False,4000,stagger_short
1,0.0,0.001,False,2000,sine1_short
2,0.0,0.001,True,15,sine2_short
3,0.0,0.001,False,2000,smooth_concept_drift
4,0.0,0.001,False,1500,abrupt_concept_drift
5,0.0,0.001,False,2100,abrupt_covariate
6,0.0,0.001,False,2000,gradual_concept_drift
7,0.0,0.001,False,-1,nodrift_noisy
8,0.0,0.000802,True,20,stagger_short
9,0.0,0.000802,True,17,sine1_short
10,0.0,0.000802,True,17,sine2_short
11,0.0,0.000802,True,569,smooth_concept_drift
12,0.0,0.000802,True,32,abrupt_concept_drift
13,0.0,0.000802,True,53,abrupt_covariate
14,0.0,0.000802,False,2000,gradual_concept_drift
15,0.0,0.000802,False,-1,nodrift_noisy
16,0.0,0.000604,True,21,stagger_short
17,0.0,0.000604,True,18,sine1_short
18,0.0,0.000604,True,20,sine2_short
19,0.0,0.000604,True,853,smooth_concept_drift
20,0.0,0.000604,False,1500,abrupt_concept_drift
21,0.0,0.000604,True,623,abrupt_covariate
22,0.0,0.000604,True,20,gradual_concept_drift
23,0.0,0.000604,False,-1,nodrift_noisy
24,0.0,0.0004060000000000001,True,19,stagger_short
25,0.0,0.0004060000000000001,True,18,sine1_short
26,0.0,0.0004060000000000001,True,21,sine2_short
27,0.0,0.0004060000000000001,True,114,smooth_concept_drift
28,0.0,0.0004060000000000001,True,416,abrupt_concept_drift
29,0.0,0.0004060000000000001,True,28,abrupt_covariate
30,0.0,0.0004060000000000001,True,30,gradual_concept_drift
31,0.0,0.0004060000000000001,True,-1,nodrift_noisy
32,0.0,0.00020800000000000007,True,21,stagger_short
33,0.0,0.00020800000000000007,True,18,sine1_short
34,0.0,0.00020800000000000007,True,20,sine2_short
35,0.0,0.00020800000000000007,False,2000,smooth_concept_drift
36,0.0,0.00020800000000000007,True,26,abrupt_concept_drift
37,0.0,0.00020800000000000007,True,35,abrupt_covariate
38,0.0,0.00020800000000000007,True,435,gradual_concept_drift
39,0.0,0.00020800000000000007,True,-1,nodrift_noisy
40,0.0,1e-05,True,22,stagger_short
41,0.0,1e-05,True,49,sine1_short
42,0.0,1e-05,True,24,sine2_short
43,0.0,1e-05,False,2000,smooth_concept_drift
44,0.0,1e-05,False,1500,abrupt_concept_drift
45,0.0,1e-05,True,625,abrupt_covariate
46,0.0,1e-05,True,233,gradual_concept_drift
47,0.0,1e-05,True,-1,nodrift_noisy
48,0.001,0.001,False,4000,stagger_short_noisy001
49,0.001,0.001,False,2000,sine1_short_noisy001
50,0.001,0.001,True,16,sine2_short_noisy001
51,0.001,0.001,False,2000,smooth_concept_drift_noisy001
52,0.001,0.001,False,1500,abrupt_concept_drift_noisy001
53,0.001,0.001,True,31,abrupt_covariate_noisy001
54,0.001,0.001,False,2000,gradual_concept_drift_noisy001
55,0.001,0.001,False,-1,nodrift_noisy001
56,0.001,0.000802,True,20,stagger_short_noisy001
57,0.001,0.000802,False,2000,sine1_short_noisy001
58,0.001,0.000802,True,20,sine2_short_noisy001
59,0.001,0.000802,True,172,smooth_concept_drift_noisy001
60,0.001,0.000802,False,1500,abrupt_concept_drift_noisy001
61,0.001,0.000802,True,639,abrupt_covariate_noisy001
62,0.001,0.000802,True,29,gradual_concept_drift_noisy001
63,0.001,0.000802,False,-1,nodrift_noisy001
64,0.001,0.000604,True,20,stagger_short_noisy001
65,0.001,0.000604,True,16,sine1_short_noisy001
66,0.001,0.000604,True,17,sine2_short_noisy001
67,0.001,0.000604,True,1725,smooth_concept_drift_noisy001
68,0.001,0.000604,False,1500,abrupt_concept_drift_noisy001
69,0.001,0.000604,True,31,abrupt_covariate_noisy001
70,0.001,0.000604,False,2000,gradual_concept_drift_noisy001
71,0.001,0.000604,False,-1,nodrift_noisy001
72,0.001,0.0004060000000000001,True,21,stagger_short_noisy001
73,0.001,0.0004060000000000001,True,17,sine1_short_noisy001
74,0.001,0.0004060000000000001,True,23,sine2_short_noisy001
75,0.001,0.0004060000000000001,True,1389,smooth_concept_drift_noisy001
76,0.001,0.0004060000000000001,True,71,abrupt_concept_drift_noisy001
77,0.001,0.0004060000000000001,True,627,abrupt_covariate_noisy001
78,0.001,0.0004060000000000001,True,92,gradual_concept_drift_noisy001
79,0.001,0.0004060000000000001,False,-1,nodrift_noisy001
80,0.001,0.00020800000000000007,True,19,stagger_short_noisy001
81,0.001,0.00020800000000000007,True,17,sine1_short_noisy001
82,0.001,0.00020800000000000007,True,22,sine2_short_noisy001
83,0.001,0.00020800000000000007,True,384,smooth_concept_drift_noisy001
84,0.001,0.00020800000000000007,True,26,abrupt_concept_drift_noisy001
85,0.001,0.00020800000000000007,False,2100,abrupt_covariate_noisy001
86,0.001,0.00020800000000000007,True,228,gradual_concept_drift_noisy001
87,0.001,0.00020800000000000007,False,-1,nodrift_noisy001
88,0.001,1e-05,True,23,stagger_short_noisy001
89,0.001,1e-05,True,30,sine1_short_noisy001
90,0.001,1e-05,True,22,sine2_short_noisy001
91,0.001,1e-05,False,2000,smooth_concept_drift_noisy001
92,0.001,1e-05,False,1500,abrupt_concept_drift_noisy001
93,0.001,1e-05,True,39,abrupt_covariate_noisy001
94,0.001,1e-05,True,826,gradual_concept_drift_noisy001
95,0.001,1e-05,True,-1,nodrift_noisy001
96,0.01,0.001,False,4000,stagger_short_noisy01
97,0.01,0.001,True,16,sine1_short_noisy01
98,0.01,0.001,False,2000,sine2_short_noisy01
99,0.01,0.001,False,2000,smooth_concept_drift_noisy01
100,0.01,0.001,False,1500,abrupt_concept_drift_noisy01
101,0.01,0.001,True,26,abrupt_covariate_noisy01
102,0.01,0.001,False,2000,gradual_concept_drift_noisy01
103,0.01,0.001,False,-1,nodrift_noisy01
104,0.01,0.000802,True,22,stagger_short_noisy01
105,0.01,0.000802,True,17,sine1_short_noisy01
106,0.01,0.000802,True,17,sine2_short_noisy01
107,0.01,0.000802,False,2000,smooth_concept_drift_noisy01
108,0.01,0.000802,False,1500,abrupt_concept_drift_noisy01
109,0.01,0.000802,True,290,abrupt_covariate_noisy01
110,0.01,0.000802,False,2000,gradual_concept_drift_noisy01
111,0.01,0.000802,False,-1,nodrift_noisy01
112,0.01,0.000604,False,4000,stagger_short_noisy01
113,0.01,0.000604,True,19,sine1_short_noisy01
114,0.01,0.000604,True,21,sine2_short_noisy01
115,0.01,0.000604,False,2000,smooth_concept_drift_noisy01
116,0.01,0.000604,False,1500,abrupt_concept_drift_noisy01
117,0.01,0.000604,True,24,abrupt_covariate_noisy01
118,0.01,0.000604,False,2000,gradual_concept_drift_noisy01
119,0.01,0.000604,False,-1,nodrift_noisy01
120,0.01,0.0004060000000000001,True,21,stagger_short_noisy01
121,0.01,0.0004060000000000001,True,17,sine1_short_noisy01
122,0.01,0.0004060000000000001,True,16,sine2_short_noisy01
123,0.01,0.0004060000000000001,False,2000,smooth_concept_drift_noisy01
124,0.01,0.0004060000000000001,False,1500,abrupt_concept_drift_noisy01
125,0.01,0.0004060000000000001,True,625,abrupt_covariate_noisy01
126,0.01,0.0004060000000000001,False,2000,gradual_concept_drift_noisy01
127,0.01,0.0004060000000000001,False,-1,nodrift_noisy01
128,0.01,0.00020800000000000007,True,22,stagger_short_noisy01
129,0.01,0.00020800000000000007,True,24,sine1_short_noisy01
130,0.01,0.00020800000000000007,True,21,sine2_short_noisy01
131,0.01,0.00020800000000000007,True,489,smooth_concept_drift_noisy01
132,0.01,0.00020800000000000007,False,1500,abrupt_concept_drift_noisy01
133,0.01,0.00020800000000000007,False,2100,abrupt_covariate_noisy01
134,0.01,0.00020800000000000007,True,17,gradual_concept_drift_noisy01
135,0.01,0.00020800000000000007,True,-1,nodrift_noisy01
136,0.01,1e-05,True,25,stagger_short_noisy01
137,0.01,1e-05,True,29,sine1_short_noisy01
138,0.01,1e-05,True,22,sine2_short_noisy01
139,0.01,1e-05,False,2000,smooth_concept_drift_noisy01
140,0.01,1e-05,False,1500,abrupt_concept_drift_noisy01
141,0.01,1e-05,True,630,abrupt_covariate_noisy01
142,0.01,1e-05,True,253,gradual_concept_drift_noisy01
143,0.01,1e-05,True,-1,nodrift_noisy01
144,0.05,0.001,True,22,stagger_short_noisy05
145,0.05,0.001,False,2000,sine1_short_noisy05
146,0.05,0.001,True,31,sine2_short_noisy05
147,0.05,0.001,True,1763,smooth_concept_drift_noisy05
