,noise_rate,alpha,success,performance,drift_name
111,0.001,0.01,True,130,gradual_concept_drift_noisy001
112,0.001,0.001,True,-1,nodrift_noisy001
113,0.001,0.001,True,88,stagger_short_noisy001
114,0.001,0.001,True,54,sine1_short_noisy001
115,0.001,0.001,True,40,sine2_short_noisy001
116,0.001,0.001,True,1143,smooth_concept_drift_noisy001
117,0.001,0.001,True,173,abrupt_concept_drift_noisy001
118,0.001,0.001,True,1179,abrupt_covariate_noisy001
119,0.001,0.001,True,139,gradual_concept_drift_noisy001
120,0.001,0.0001,True,-1,nodrift_noisy001
121,0.001,0.0001,True,107,stagger_short_noisy001
122,0.001,0.0001,True,76,sine1_short_noisy001
123,0.001,0.0001,True,89,sine2_short_noisy001
124,0.001,0.0001,True,1164,smooth_concept_drift_noisy001
125,0.001,0.0001,True,159,abrupt_concept_drift_noisy001
126,0.001,0.0001,True,539,abrupt_covariate_noisy001
127,0.001,0.0001,True,864,gradual_concept_drift_noisy001
128,0.01,0.9999,True,-1,nodrift_noisy01
129,0.01,0.9999,True,36,stagger_short_noisy01
130,0.01,0.9999,False,12000,sine1_short_noisy01
131,0.01,0.9999,False,12000,sine2_short_noisy01
132,0.01,0.9999,False,12000,smooth_concept_drift_noisy01
133,0.01,0.9999,False,12000,abrupt_concept_drift_noisy01
134,0.01,0.9999,False,12000,abrupt_covariate_noisy01
135,0.01,0.9999,False,12000,gradual_concept_drift_noisy01
136,0.01,0.8,False,-1,nodrift_noisy01
137,0.01,0.8,False,12000,stagger_short_noisy01
138,0.01,0.8,False,12000,sine1_short_noisy01
139,0.01,0.8,False,12000,sine2_short_noisy01
140,0.01,0.8,False,12000,smooth_concept_drift_noisy01
141,0.01,0.8,False,12000,abrupt_concept_drift_noisy01
142,0.01,0.8,False,12000,abrupt_covariate_noisy01
143,0.01,0.8,True,78,gradual_concept_drift_noisy01
144,0.01,0.5,False,-1,nodrift_noisy01
145,0.01,0.5,True,34,stagger_short_noisy01
