,noise_rate,delta_d,success,performance,drift_name
50,0.0,0.001,True,40,sine2_short
51,0.0,0.001,True,518,smooth_concept_drift
52,0.0,0.001,True,94,abrupt_concept_drift
53,0.0,0.001,False,2100,abrupt_covariate
54,0.0,0.001,True,507,gradual_concept_drift
55,0.0,0.001,True,-1,nodrift_noisy
56,0.0,0.0001,True,103,stagger_short
57,0.0,0.0001,True,76,sine1_short
58,0.0,0.0001,True,89,sine2_short
59,0.0,0.0001,True,626,smooth_concept_drift
60,0.0,0.0001,True,116,abrupt_concept_drift
61,0.0,0.0001,True,369,abrupt_covariate
62,0.0,0.0001,True,507,gradual_concept_drift
63,0.0,0.0001,True,-1,nodrift_noisy
64,0.001,0.9999,True,20,stagger_short_noisy001
65,0.001,0.9999,False,2000,sine1_short_noisy001
66,0.001,0.9999,True,11,sine2_short_noisy001
67,0.001,0.9999,False,2000,smooth_concept_drift_noisy001
68,0.001,0.9999,False,1500,abrupt_concept_drift_noisy001
69,0.001,0.9999,True,347,abrupt_covariate_noisy001
70,0.001,0.9999,False,2000,gradual_concept_drift_noisy001
71,0.001,0.9999,False,-1,nodrift_noisy001
72,0.001,0.8,False,4000,stagger_short_noisy001
73,0.001,0.8,False,2000,sine1_short_noisy001
74,0.001,0.8,True,11,sine2_short_noisy001
75,0.001,0.8,False,2000,smooth_concept_drift_noisy001
76,0.001,0.8,False,1500,abrupt_concept_drift_noisy001
77,0.001,0.8,True,95,abrupt_covariate_noisy001
78,0.001,0.8,True,107,gradual_concept_drift_noisy001
79,0.001,0.8,False,-1,nodrift_noisy001
80,0.001,0.5,True,36,stagger_short_noisy001
81,0.001,0.5,True,27,sine1_short_noisy001
82,0.001,0.5,True,13,sine2_short_noisy001
83,0.001,0.5,True,265,smooth_concept_drift_noisy001
84,0.001,0.5,True,84,abrupt_concept_drift_noisy001
85,0.001,0.5,True,63,abrupt_covariate_noisy001
86,0.001,0.5,True,239,gradual_concept_drift_noisy001
87,0.001,0.5,False,-1,nodrift_noisy001
88,0.001,0.25,True,46,stagger_short_noisy001
89,0.001,0.25,True,27,sine1_short_noisy001
90,0.001,0.25,True,21,sine2_short_noisy001
91,0.001,0.25,True,431,smooth_concept_drift_noisy001
92,0.001,0.25,True,34,abrupt_concept_drift_noisy001
93,0.001,0.25,True,64,abrupt_covariate_noisy001
94,0.001,0.25,True,32,gradual_concept_drift_noisy001
95,0.001,0.25,True,-1,nodrift_noisy001
96,0.001,0.1,True,49,stagger_short_noisy001
97,0.001,0.1,True,27,sine1_short_noisy001
98,0.001,0.1,True,25,sine2_short_noisy001
99,0.001,0.1,True,277,smooth_concept_drift_noisy001
100,0.001,0.1,True,60,abrupt_concept_drift_noisy001
101,0.001,0.1,True,284,abrupt_covariate_noisy001
102,0.001,0.1,True,61,gradual_concept_drift_noisy001
103,0.001,0.1,True,-1,nodrift_noisy001
104,0.001,0.01,True,75,stagger_short_noisy001
105,0.001,0.01,True,38,sine1_short_noisy001
106,0.001,0.01,True,28,sine2_short_noisy001
107,0.001,0.01,True,519,smooth_concept_drift_noisy001
108,0.001,0.01,True,87,abrupt_concept_drift_noisy001
109,0.001,0.01,False,2100,abrupt_covariate_noisy001
110,0.001,0.01,True,249,gradual_concept_drift_noisy001
111,0.001,0.01,True,-1,nodrift_noisy001
112,0.001,0.001,True,92,stagger_short_noisy001
113,0.001,0.001,True,56,sine1_short_noisy001
114,0.001,0.001,True,40,sine2_short_noisy001
115,0.001,0.001,True,508,smooth_concept_drift_noisy001
116,0.001,0.001,True,94,abrupt_concept_drift_noisy001
117,0.001,0.001,True,2015,abrupt_covariate_noisy001
118,0.001,0.001,True,436,gradual_concept_drift_noisy001
119,0.001,0.001,True,-1,nodrift_noisy001
120,0.001,0.0001,True,103,stagger_short_noisy001
121,0.001,0.0001,True,79,sine1_short_noisy001
122,0.001,0.0001,True,89,sine2_short_noisy001
123,0.001,0.0001,True,471,smooth_concept_drift_noisy001
124,0.001,0.0001,True,230,abrupt_concept_drift_noisy001
125,0.001,0.0001,True,2015,abrupt_covariate_noisy001
126,0.001,0.0001,True,495,gradual_concept_drift_noisy001
127,0.001,0.0001,True,-1,nodrift_noisy001
128,0.01,0.9999,True,25,stagger_short_noisy01
129,0.01,0.9999,False,2000,sine1_short_noisy01
130,0.01,0.9999,False,2000,sine2_short_noisy01
131,0.01,0.9999,True,310,smooth_concept_drift_noisy01
132,0.01,0.9999,True,41,abrupt_concept_drift_noisy01
133,0.01,0.9999,True,79,abrupt_covariate_noisy01
134,0.01,0.9999,False,2000,gradual_concept_drift_noisy01
135,0.01,0.9999,False,-1,nodrift_noisy01
136,0.01,0.8,True,25,stagger_short_noisy01
137,0.01,0.8,False,2000,sine1_short_noisy01
138,0.01,0.8,True,12,sine2_short_noisy01
139,0.01,0.8,False,2000,smooth_concept_drift_noisy01
