,noise_rate,delta_d,success,performance,drift_name
111,0.001,0.01,True,-1,nodrift_noisy001
112,0.001,0.001,True,94,stagger_short_noisy001
113,0.001,0.001,True,66,sine1_short_noisy001
114,0.001,0.001,True,73,sine2_short_noisy001
115,0.001,0.001,True,440,smooth_concept_drift_noisy001
116,0.001,0.001,True,89,abrupt_concept_drift_noisy001
117,0.001,0.001,False,3000,abrupt_covariate_noisy001
118,0.001,0.001,True,457,gradual_concept_drift_noisy001
119,0.001,0.001,True,-1,nodrift_noisy001
120,0.001,0.0001,True,94,stagger_short_noisy001
121,0.001,0.0001,True,66,sine1_short_noisy001
122,0.001,0.0001,True,73,sine2_short_noisy001
123,0.001,0.0001,True,487,smooth_concept_drift_noisy001
124,0.001,0.0001,True,121,abrupt_concept_drift_noisy001
125,0.001,0.0001,True,317,abrupt_covariate_noisy001
126,0.001,0.0001,True,495,gradual_concept_drift_noisy001
127,0.001,0.0001,True,-1,nodrift_noisy001
128,0.01,1.0,False,6000,stagger_short_noisy01
129,0.01,1.0,False,3000,sine1_short_noisy01
130,0.01,1.0,False,3000,sine2_short_noisy01
131,0.01,1.0,False,3000,smooth_concept_drift_noisy01
132,0.01,1.0,False,3000,abrupt_concept_drift_noisy01
133,0.01,1.0,False,3000,abrupt_covariate_noisy01
134,0.01,1.0,False,3000,gradual_concept_drift_noisy01
135,0.01,1.0,True,-1,nodrift_noisy01
136,0.01,0.8,False,6000,stagger_short_noisy01
137,0.01,0.8,False,3000,sine1_short_noisy01
138,0.01,0.8,False,3000,sine2_short_noisy01
139,0.01,0.8,False,3000,smooth_concept_drift_noisy01
140,0.01,0.8,False,3000,abrupt_concept_drift_noisy01
141,0.01,0.8,False,3000,abrupt_covariate_noisy01
142,0.01,0.8,False,3000,gradual_concept_drift_noisy01
143,0.01,0.8,True,-1,nodrift_noisy01
144,0.01,0.5,False,6000,stagger_short_noisy01
145,0.01,0.5,False,3000,sine1_short_noisy01
146,0.01,0.5,False,3000,sine2_short_noisy01
147,0.01,0.5,False,3000,smooth_concept_drift_noisy01
148,0.01,0.5,False,3000,abrupt_concept_drift_noisy01
149,0.01,0.5,False,3000,abrupt_covariate_noisy01
150,0.01,0.5,False,3000,gradual_concept_drift_noisy01
151,0.01,0.5,True,-1,nodrift_noisy01
152,0.01,0.25,True,168,stagger_short_noisy01
153,0.01,0.25,True,115,sine1_short_noisy01
154,0.01,0.25,True,123,sine2_short_noisy01
155,0.01,0.25,False,3000,smooth_concept_drift_noisy01
156,0.01,0.25,False,3000,abrupt_concept_drift_noisy01
157,0.01,0.25,False,3000,abrupt_covariate_noisy01
158,0.01,0.25,False,3000,gradual_concept_drift_noisy01
159,0.01,0.25,True,-1,nodrift_noisy01
160,0.01,0.1,True,111,stagger_short_noisy01
161,0.01,0.1,True,82,sine1_short_noisy01
162,0.01,0.1,True,92,sine2_short_noisy01
163,0.01,0.1,True,653,smooth_concept_drift_noisy01
164,0.01,0.1,True,167,abrupt_concept_drift_noisy01
165,0.01,0.1,False,3000,abrupt_covariate_noisy01
166,0.01,0.1,True,722,gradual_concept_drift_noisy01
167,0.01,0.1,True,-1,nodrift_noisy01
168,0.01,0.01,True,99,stagger_short_noisy01
169,0.01,0.01,True,69,sine1_short_noisy01
170,0.01,0.01,True,76,sine2_short_noisy01
171,0.01,0.01,True,599,smooth_concept_drift_noisy01
172,0.01,0.01,True,112,abrupt_concept_drift_noisy01
173,0.01,0.01,False,3000,abrupt_covariate_noisy01
174,0.01,0.01,True,644,gradual_concept_drift_noisy01
175,0.01,0.01,True,-1,nodrift_noisy01
176,0.01,0.001,True,95,stagger_short_noisy01
177,0.01,0.001,True,69,sine1_short_noisy01
178,0.01,0.001,True,72,sine2_short_noisy01
179,0.01,0.001,True,516,smooth_concept_drift_noisy01
180,0.01,0.001,True,143,abrupt_concept_drift_noisy01
181,0.01,0.001,True,387,abrupt_covariate_noisy01
182,0.01,0.001,True,463,gradual_concept_drift_noisy01
183,0.01,0.001,True,-1,nodrift_noisy01
184,0.01,0.0001,True,95,stagger_short_noisy01
185,0.01,0.0001,True,70,sine1_short_noisy01
186,0.01,0.0001,True,73,sine2_short_noisy01
187,0.01,0.0001,True,477,smooth_concept_drift_noisy01
188,0.01,0.0001,True,109,abrupt_concept_drift_noisy01
189,0.01,0.0001,True,518,abrupt_covariate_noisy01
190,0.01,0.0001,True,453,gradual_concept_drift_noisy01
191,0.01,0.0001,True,-1,nodrift_noisy01
192,0.05,1.0,False,6000,stagger_short_noisy05
193,0.05,1.0,False,3000,sine1_short_noisy05
194,0.05,1.0,False,3000,sine2_short_noisy05
195,0.05,1.0,False,3000,smooth_concept_drift_noisy05
196,0.05,1.0,False,3000,abrupt_concept_drift_noisy05
197,0.05,1.0,False,3000,abrupt_covariate_noisy05
198,0.05,1.0,False,3000,gradual_concept_drift_noisy05
199,0.05,1.0,True,-1,nodrift_noisy05
200,0.05,0.8,False,6000,stagger_short_noisy05
201,0.05,0.8,False,3000,sine1_short_noisy05
202,0.05,0.8,False,3000,sine2_short_noisy05
203,0.05,0.8,False,3000,smooth_concept_drift_noisy05
204,0.05,0.8,False,3000,abrupt_concept_drift_noisy05
205,0.05,0.8,False,3000,abrupt_covariate_noisy05
206,0.05,0.8,False,3000,gradual_concept_drift_noisy05
207,0.05,0.8,True,-1,nodrift_noisy05
208,0.05,0.5,False,6000,stagger_short_noisy05
209,0.05,0.5,False,3000,sine1_short_noisy05
210,0.05,0.5,False,3000,sine2_short_noisy05
211,0.05,0.5,False,3000,smooth_concept_drift_noisy05
212,0.05,0.5,False,3000,abrupt_concept_drift_noisy05
213,0.05,0.5,False,3000,abrupt_covariate_noisy05
214,0.05,0.5,False,3000,gradual_concept_drift_noisy05
215,0.05,0.5,True,-1,nodrift_noisy05
216,0.05,0.25,True,181,stagger_short_noisy05
217,0.05,0.25,True,130,sine1_short_noisy05
218,0.05,0.25,True,145,sine2_short_noisy05
219,0.05,0.25,False,3000,smooth_concept_drift_noisy05
220,0.05,0.25,False,3000,abrupt_concept_drift_noisy05
221,0.05,0.25,False,3000,abrupt_covariate_noisy05
222,0.05,0.25,False,3000,gradual_concept_drift_noisy05
223,0.05,0.25,True,-1,nodrift_noisy05
224,0.05,0.1,True,145,stagger_short_noisy05
225,0.05,0.1,True,90,sine1_short_noisy05
226,0.05,0.1,True,98,sine2_short_noisy05
227,0.05,0.1,True,885,smooth_concept_drift_noisy05
228,0.05,0.1,True,258,abrupt_concept_drift_noisy05
229,0.05,0.1,False,3000,abrupt_covariate_noisy05
230,0.05,0.1,True,1208,gradual_concept_drift_noisy05
231,0.05,0.1,True,-1,nodrift_noisy05
232,0.05,0.01,True,109,stagger_short_noisy05
233,0.05,0.01,True,70,sine1_short_noisy05
234,0.05,0.01,True,76,sine2_short_noisy05
235,0.05,0.01,True,452,smooth_concept_drift_noisy05
236,0.05,0.01,True,145,abrupt_concept_drift_noisy05
237,0.05,0.01,False,3000,abrupt_covariate_noisy05
238,0.05,0.01,True,650,gradual_concept_drift_noisy05
239,0.05,0.01,True,-1,nodrift_noisy05
240,0.05,0.001,True,122,stagger_short_noisy05
241,0.05,0.001,True,78,sine1_short_noisy05
242,0.05,0.001,True,76,sine2_short_noisy05
243,0.05,0.001,True,549,smooth_concept_drift_noisy05
244,0.05,0.001,True,157,abrupt_concept_drift_noisy05
245,0.05,0.001,True,1880,abrupt_covariate_noisy05
246,0.05,0.001,True,444,gradual_concept_drift_noisy05
247,0.05,0.001,True,-1,nodrift_noisy05
248,0.05,0.0001,True,94,stagger_short_noisy05
249,0.05,0.0001,True,67,sine1_short_noisy05
250,0.05,0.0001,True,75,sine2_short_noisy05
251,0.05,0.0001,True,559,smooth_concept_drift_noisy05
252,0.05,0.0001,True,166,abrupt_concept_drift_noisy05
253,0.05,0.0001,True,561,abrupt_covariate_noisy05
254,0.05,0.0001,True,462,gradual_concept_drift_noisy05
255,0.05,0.0001,True,-1,nodrift_noisy05
256,0.1,1.0,False,6000,stagger_short_noisy1
257,0.1,1.0,False,3000,sine1_short_noisy1
258,0.1,1.0,False,3000,sine2_short_noisy1
259,0.1,1.0,False,3000,smooth_concept_drift_noisy1
260,0.1,1.0,False,3000,abrupt_concept_drift_noisy1
261,0.1,1.0,False,3000,abrupt_covariate_noisy1
262,0.1,1.0,False,3000,gradual_concept_drift_noisy1
263,0.1,1.0,True,-1,nodrift_noisy1
264,0.1,0.8,False,6000,stagger_short_noisy1
265,0.1,0.8,False,3000,sine1_short_noisy1
266,0.1,0.8,False,3000,sine2_short_noisy1
267,0.1,0.8,False,3000,smooth_concept_drift_noisy1
268,0.1,0.8,False,3000,abrupt_concept_drift_noisy1
269,0.1,0.8,False,3000,abrupt_covariate_noisy1
270,0.1,0.8,False,3000,gradual_concept_drift_noisy1
271,0.1,0.8,True,-1,nodrift_noisy1
272,0.1,0.5,False,6000,stagger_short_noisy1
273,0.1,0.5,False,3000,sine1_short_noisy1
274,0.1,0.5,False,3000,sine2_short_noisy1
275,0.1,0.5,False,3000,smooth_concept_drift_noisy1
276,0.1,0.5,False,3000,abrupt_concept_drift_noisy1
277,0.1,0.5,False,3000,abrupt_covariate_noisy1
278,0.1,0.5,False,3000,gradual_concept_drift_noisy1
279,0.1,0.5,True,-1,nodrift_noisy1
280,0.1,0.25,True,293,stagger_short_noisy1
281,0.1,0.25,True,233,sine1_short_noisy1
282,0.1,0.25,True,195,sine2_short_noisy1
283,0.1,0.25,False,3000,smooth_concept_drift_noisy1
284,0.1,0.25,False,3000,abrupt_concept_drift_noisy1
285,0.1,0.25,False,3000,abrupt_covariate_noisy1
286,0.1,0.25,False,3000,gradual_concept_drift_noisy1
287,0.1,0.25,True,-1,nodrift_noisy1
288,0.1,0.1,True,151,stagger_short_noisy1
289,0.1,0.1,True,124,sine1_short_noisy1
290,0.1,0.1,True,116,sine2_short_noisy1
291,0.1,0.1,True,705,smooth_concept_drift_noisy1
292,0.1,0.1,True,1038,abrupt_concept_drift_noisy1
293,0.1,0.1,False,3000,abrupt_covariate_noisy1
294,0.1,0.1,True,1148,gradual_concept_drift_noisy1
295,0.1,0.1,True,-1,nodrift_noisy1
296,0.1,0.01,True,87,stagger_short_noisy1
